StockCode,Description,cum,ten_cum
21666,RIDGED GLASS T-LIGHT HOLDER,2,"Hang theo mua, dot bien, so luong lon"
21668,RED STRIPE CERAMIC DRAWER KNOB,4,"Hang trung binh, on dinh quanh nam"
21669,BLUE STRIPE CERAMIC DRAWER KNOB,4,"Hang trung binh, on dinh quanh nam"
21670,BLUE SPOT CERAMIC DRAWER KNOB,4,"Hang trung binh, on dinh quanh nam"
21671,RED SPOT CERAMIC DRAWER KNOB,4,"Hang trung binh, on dinh quanh nam"
21672,WHITE SPOT RED CERAMIC DRAWER KNOB,4,"Hang trung binh, on dinh quanh nam"
21673,WHITE SPOT BLUE CERAMIC DRAWER KNOB,4,"Hang trung binh, on dinh quanh nam"
21675,BUTTERFLIES STICKERS,2,"Hang theo mua, dot bien, so luong lon"
21676,FLOWERS  STICKERS,2,"Hang theo mua, dot bien, so luong lon"
21677,HEARTS  STICKERS,2,"Hang theo mua, dot bien, so luong lon"
21678,PAISLEY PATTERN  STICKERS,1,"Hang cao cap, gia tri cao, it lap lai"
21679,SKULLS  STICKERS,2,"Hang theo mua, dot bien, so luong lon"
21680,WOODLAND  STICKERS,2,"Hang theo mua, dot bien, so luong lon"
21682,LARGE MEDINA STAMPED METAL BOWL ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21683,MEDIUM MEDINA STAMPED METAL BOWL ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21684,SMALL MEDINA STAMPED METAL BOWL ,2,"Hang theo mua, dot bien, so luong lon"
21686,MEDINA STAMPED METAL STOOL,0,"Hang ban chay, gia thap, mua thuong xuyen"
21688,SILVER PLATE CANDLE BOWL SMALL,0,"Hang ban chay, gia thap, mua thuong xuyen"
21689,SILVER VANILLA  FLOWER CANDLE POT,1,"Hang cao cap, gia tri cao, it lap lai"
21690,SILVER  CANDLEPOT JARDIN ,1,"Hang cao cap, gia tri cao, it lap lai"
21692,SILVER LATTICE VANILLA CANDLE POT,1,"Hang cao cap, gia tri cao, it lap lai"
21693,SMALL HAMMERED SILVER CANDLEPOT ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21694,SMALL REGAL  SILVER CANDLEPOT ,2,"Hang theo mua, dot bien, so luong lon"
21695,SMALL SILVER FLOWER CANDLE POT,2,"Hang theo mua, dot bien, so luong lon"
21696,SMALL SILVER TRELLIS CANDLEPOT,2,"Hang theo mua, dot bien, so luong lon"
21698,MOCK LOBSTER FRIDGE MAGNET,2,"Hang theo mua, dot bien, so luong lon"
21700,BIG DOUGHNUT FRIDGE MAGNETS,4,"Hang trung binh, on dinh quanh nam"
21703,BAG 125g SWIRLY MARBLES,4,"Hang trung binh, on dinh quanh nam"
21704,BAG 250g SWIRLY MARBLES,4,"Hang trung binh, on dinh quanh nam"
21705,BAG 500g SWIRLY MARBLES,4,"Hang trung binh, on dinh quanh nam"
21706,FOLDING UMBRELLA RED/WHITE POLKADOT,0,"Hang ban chay, gia thap, mua thuong xuyen"
21707,FOLDING UMBRELLA BLACKBLUE POLKADOT,0,"Hang ban chay, gia thap, mua thuong xuyen"
21708,FOLDING UMBRELLA CREAM POLKADOT,0,"Hang ban chay, gia thap, mua thuong xuyen"
21709,FOLDING UMBRELLA CHOCOLATE POLKADOT,0,"Hang ban chay, gia thap, mua thuong xuyen"
21710,FOLDING UMBRELLA PINKWHITE POLKADOT,0,"Hang ban chay, gia thap, mua thuong xuyen"
21711,FOLDING UMBRELLA WHITE/RED POLKADOT,0,"Hang ban chay, gia thap, mua thuong xuyen"
21713,CITRONELLA CANDLE FLOWERPOT,0,"Hang ban chay, gia thap, mua thuong xuyen"
21714,CITRONELLA CANDLE GARDEN POT,4,"Hang trung binh, on dinh quanh nam"
21715,GIRLS VINTAGE TIN SEASIDE BUCKET,4,"Hang trung binh, on dinh quanh nam"
21716,BOYS VINTAGE TIN SEASIDE BUCKET,4,"Hang trung binh, on dinh quanh nam"
21717,EASTER TIN BUCKET,2,"Hang theo mua, dot bien, so luong lon"
21718,RED METAL BEACH SPADE ,4,"Hang trung binh, on dinh quanh nam"
21719,LOVELY BONBON STICKER SHEET,2,"Hang theo mua, dot bien, so luong lon"
21720,CAKE SHOP  STICKER SHEET,1,"Hang cao cap, gia tri cao, it lap lai"
21721,CANDY SHOP  STICKER SHEET,2,"Hang theo mua, dot bien, so luong lon"
21722,SWEET PUDDING STICKER SHEET,3,"Hang moi/it nguoi biet, doanh thu thap"
21723,ALPHABET HEARTS STICKER SHEET,2,"Hang theo mua, dot bien, so luong lon"
21724,PANDA AND BUNNIES STICKER SHEET,2,"Hang theo mua, dot bien, so luong lon"
21725,SWEETIES  STICKERS,2,"Hang theo mua, dot bien, so luong lon"
21726,MULTI HEARTS  STICKERS,2,"Hang theo mua, dot bien, so luong lon"
21730,GLASS STAR FROSTED T-LIGHT HOLDER,0,"Hang ban chay, gia thap, mua thuong xuyen"
21731,RED TOADSTOOL LED NIGHT LIGHT,4,"Hang trung binh, on dinh quanh nam"
21733,RED HANGING HEART T-LIGHT HOLDER,4,"Hang trung binh, on dinh quanh nam"
21735,TWO DOOR CURIO CABINET,0,"Hang ban chay, gia thap, mua thuong xuyen"
21736,GOLD SCROLL GLASS T-LIGHT HOLDER,2,"Hang theo mua, dot bien, so luong lon"
21738,COSY SLIPPER SHOES SMALL  RED ,1,"Hang cao cap, gia tri cao, it lap lai"
21739,COSY SLIPPER SHOES SMALL GREEN,0,"Hang ban chay, gia thap, mua thuong xuyen"
21741,COSY SLIPPER SHOES LARGE GREEN,0,"Hang ban chay, gia thap, mua thuong xuyen"
21742,LARGE ROUND WICKER PLATTER ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21743,STAR PORTABLE TABLE LIGHT ,2,"Hang theo mua, dot bien, so luong lon"
21744,SNOWFLAKE PORTABLE TABLE LIGHT ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21745,GAOLERS KEYS DECORATIVE GARDEN ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21746,SMALL RED RETROSPOT WINDMILL,4,"Hang trung binh, on dinh quanh nam"
21747,SMALL SKULL WINDMILL,2,"Hang theo mua, dot bien, so luong lon"
21749,LARGE RED RETROSPOT WINDMILL,4,"Hang trung binh, on dinh quanh nam"
21750,LARGE SKULL WINDMILL,1,"Hang cao cap, gia tri cao, it lap lai"
21754,HOME BUILDING BLOCK WORD,0,"Hang ban chay, gia thap, mua thuong xuyen"
21755,LOVE BUILDING BLOCK WORD,0,"Hang ban chay, gia thap, mua thuong xuyen"
21756,BATH BUILDING BLOCK WORD,0,"Hang ban chay, gia thap, mua thuong xuyen"
21758,VINTAGE SHELLS PRINT,1,"Hang cao cap, gia tri cao, it lap lai"
21761,WOOD AND GLASS MEDICINE CABINET,1,"Hang cao cap, gia tri cao, it lap lai"
21770,OPEN CLOSED METAL SIGN,4,"Hang trung binh, on dinh quanh nam"
21773,DECORATIVE ROSE BATHROOM BOTTLE,2,"Hang theo mua, dot bien, so luong lon"
21774,DECORATIVE CATS BATHROOM BOTTLE,2,"Hang theo mua, dot bien, so luong lon"
21775,DECORATIVE FLORE BATHROOM BOTTLE,0,"Hang ban chay, gia thap, mua thuong xuyen"
21777,RECIPE BOX WITH METAL HEART,1,"Hang cao cap, gia tri cao, it lap lai"
21781,MA CAMPAGNE CUTLERY BOX,0,"Hang ban chay, gia thap, mua thuong xuyen"
21784,SHOE SHINE BOX ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21785,RAIN PONCHO ,2,"Hang theo mua, dot bien, so luong lon"
21786,POLKADOT RAIN HAT ,4,"Hang trung binh, on dinh quanh nam"
21787,RAIN PONCHO RETROSPOT,4,"Hang trung binh, on dinh quanh nam"
21788,KIDS RAIN MAC BLUE,2,"Hang theo mua, dot bien, so luong lon"
21789,KIDS RAIN MAC PINK,2,"Hang theo mua, dot bien, so luong lon"
21790,VINTAGE SNAP CARDS,4,"Hang trung binh, on dinh quanh nam"
21791,VINTAGE HEADS AND TAILS CARD GAME ,4,"Hang trung binh, on dinh quanh nam"
21792,CLASSIC FRENCH STYLE BASKET GREEN ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21793,CLASSIC FRENCH STYLE BASKET BROWN,0,"Hang ban chay, gia thap, mua thuong xuyen"
21794,CLASSIC FRENCH STYLE BASKET NATURAL,0,"Hang ban chay, gia thap, mua thuong xuyen"
21801,CHRISTMAS TREE DECORATION WITH BELL,2,"Hang theo mua, dot bien, so luong lon"
21802,CHRISTMAS TREE HEART DECORATION,2,"Hang theo mua, dot bien, so luong lon"
21803,CHRISTMAS TREE STAR DECORATION,4,"Hang trung binh, on dinh quanh nam"
21804,WHITE CHRISTMAS GARLAND STARS TREES,0,"Hang ban chay, gia thap, mua thuong xuyen"
21807,WHITE CHRISTMAS STAR DECORATION,2,"Hang theo mua, dot bien, so luong lon"
21808,"CHRISTMAS GARLAND STARS,TREES",0,"Hang ban chay, gia thap, mua thuong xuyen"
21809,CHRISTMAS HANGING TREE WITH BELL,4,"Hang trung binh, on dinh quanh nam"
21810,CHRISTMAS HANGING STAR WITH BELL,4,"Hang trung binh, on dinh quanh nam"
21811,CHRISTMAS HANGING HEART WITH BELL,4,"Hang trung binh, on dinh quanh nam"
21812,GARLAND WITH HEARTS AND BELLS,0,"Hang ban chay, gia thap, mua thuong xuyen"
21813,GARLAND WITH STARS AND BELLS,0,"Hang ban chay, gia thap, mua thuong xuyen"
21814,HEART T-LIGHT HOLDER ,1,"Hang cao cap, gia tri cao, it lap lai"
21815,STAR  T-LIGHT HOLDER ,2,"Hang theo mua, dot bien, so luong lon"
21816,CHRISTMAS TREE T-LIGHT HOLDER,1,"Hang cao cap, gia tri cao, it lap lai"
21817,GLITTER CHRISTMAS TREE,2,"Hang theo mua, dot bien, so luong lon"
21818,GLITTER CHRISTMAS HEART ,4,"Hang trung binh, on dinh quanh nam"
21819,GLITTER CHRISTMAS STAR ,4,"Hang trung binh, on dinh quanh nam"
21820,GLITTER HEART GARLAND WITH BELLS ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21821,GLITTER STAR GARLAND WITH BELLS ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21822,GLITTER CHRISTMAS TREE WITH BELLS,2,"Hang theo mua, dot bien, so luong lon"
21823,PAINTED METAL HEART WITH HOLLY BELL,2,"Hang theo mua, dot bien, so luong lon"
21824,PAINTED METAL STAR WITH HOLLY BELLS,2,"Hang theo mua, dot bien, so luong lon"
21826,EIGHT PIECE DINOSAUR SET,1,"Hang cao cap, gia tri cao, it lap lai"
21828,EIGHT PIECE SNAKE  SET,2,"Hang theo mua, dot bien, so luong lon"
21829,DINOSAUR KEYRINGS ASSORTED,4,"Hang trung binh, on dinh quanh nam"
21830,ASSORTED CREEPY CRAWLIES,2,"Hang theo mua, dot bien, so luong lon"
21832,CHOCOLATE CALCULATOR,0,"Hang ban chay, gia thap, mua thuong xuyen"
21833,CAMOUFLAGE LED TORCH,4,"Hang trung binh, on dinh quanh nam"
21841,BABY MOUSE RED GINGHAM DRESS,1,"Hang cao cap, gia tri cao, it lap lai"
21843,RED RETROSPOT CAKE STAND,0,"Hang ban chay, gia thap, mua thuong xuyen"
21844,RED RETROSPOT MUG,4,"Hang trung binh, on dinh quanh nam"
21845,DAIRY MAID STRIPE MUG,2,"Hang theo mua, dot bien, so luong lon"
21846,PINK DIAMANTE PEN IN GIFT BOX,3,"Hang moi/it nguoi biet, doanh thu thap"
21847,GREEN  DIAMANTE PEN IN GIFT BOX,3,"Hang moi/it nguoi biet, doanh thu thap"
21849,SILVER DIAMANTE PEN IN GIFT BOX,3,"Hang moi/it nguoi biet, doanh thu thap"
21850,BLUE  DIAMANTE PEN IN GIFT BOX,3,"Hang moi/it nguoi biet, doanh thu thap"
21851,LILAC DIAMANTE PEN IN GIFT BOX,3,"Hang moi/it nguoi biet, doanh thu thap"
21864,UNION JACK FLAG PASSPORT COVER ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21865,PINK UNION JACK  PASSPORT COVER ,0,"Hang ban chay, gia thap, mua thuong xuyen"
21866,UNION JACK FLAG LUGGAGE TAG,0,"Hang ban chay, gia thap, mua thuong xuyen"
21867,PINK UNION JACK  LUGGAGE TAG,0,"Hang ban chay, gia thap, mua thuong xuyen"
21868,POTTING SHED TEA MUG,4,"Hang trung binh, on dinh quanh nam"
21870,I CAN ONLY PLEASE ONE PERSON MUG,4,"Hang trung binh, on dinh quanh nam"
21871,SAVE THE PLANET MUG,4,"Hang trung binh, on dinh quanh nam"
21872,GLAMOROUS  MUG,4,"Hang trung binh, on dinh quanh nam"
21873,IF YOU CAN'T STAND THE HEAT MUG,4,"Hang trung binh, on dinh quanh nam"
21874,GIN AND TONIC MUG,4,"Hang trung binh, on dinh quanh nam"
21875,KINGS CHOICE MUG,4,"Hang trung binh, on dinh quanh nam"
21876,POTTERING MUG,4,"Hang trung binh, on dinh quanh nam"
21877,HOME SWEET HOME MUG,4,"Hang trung binh, on dinh quanh nam"
21878,PACK OF 6 SANDCASTLE FLAGS ASSORTED,4,"Hang trung binh, on dinh quanh nam"
21879,HEARTS GIFT TAPE,2,"Hang theo mua, dot bien, so luong lon"
21880,RED RETROSPOT TAPE,4,"Hang trung binh, on dinh quanh nam"
21881,CUTE CATS TAPE,2,"Hang theo mua, dot bien, so luong lon"
21882,SKULLS TAPE,2,"Hang theo mua, dot bien, so luong lon"
21883,STARS GIFT TAPE ,2,"Hang theo mua, dot bien, so luong lon"
21884,CAKES AND BOWS GIFT  TAPE,2,"Hang theo mua, dot bien, so luong lon"
21888,BINGO SET,4,"Hang trung binh, on dinh quanh nam"
21889,WOODEN BOX OF DOMINOES,4,"Hang trung binh, on dinh quanh nam"
21890,S/6 WOODEN SKITTLES IN COTTON BAG,0,"Hang ban chay, gia thap, mua thuong xuyen"
21891,TRADITIONAL WOODEN SKIPPING ROPE,4,"Hang trung binh, on dinh quanh nam"
21892,TRADITIONAL WOODEN CATCH CUP GAME ,4,"Hang trung binh, on dinh quanh nam"
21894,POTTING SHED SEED ENVELOPES,0,"Hang ban chay, gia thap, mua thuong xuyen"
21896,POTTING SHED TWINE,4,"Hang trung binh, on dinh quanh nam"
21898,POTTING SHED ROSE CANDLE,2,"Hang theo mua, dot bien, so luong lon"
21899,"KEY FOB , GARAGE DESIGN",4,"Hang trung binh, on dinh quanh nam"
21900,"KEY FOB , SHED",4,"Hang trung binh, on dinh quanh nam"
21901,"KEY FOB , BACK DOOR ",4,"Hang trung binh, on dinh quanh nam"
21902,"KEY FOB , FRONT  DOOR ",4,"Hang trung binh, on dinh quanh nam"
21903,MAN FLU METAL SIGN,4,"Hang trung binh, on dinh quanh nam"
21904,HOUSE WRECKING METAL SIGN ,1,"Hang cao cap, gia tri cao, it lap lai"
21905,MORE BUTTER METAL SIGN ,2,"Hang theo mua, dot bien, so luong lon"
21906,PHARMACIE FIRST AID TIN,0,"Hang ban chay, gia thap, mua thuong xuyen"
21907,I'M ON HOLIDAY METAL SIGN,4,"Hang trung binh, on dinh quanh nam"
21908,CHOCOLATE THIS WAY METAL SIGN,4,"Hang trung binh, on dinh quanh nam"
21910,WAY OUT METAL SIGN ,1,"Hang cao cap, gia tri cao, it lap lai"
21911,GARDEN METAL SIGN ,1,"Hang cao cap, gia tri cao, it lap lai"
21912,VINTAGE SNAKES & LADDERS,4,"Hang trung binh, on dinh quanh nam"
21913,VINTAGE SEASIDE JIGSAW PUZZLES,0,"Hang ban chay, gia thap, mua thuong xuyen"
21914,BLUE HARMONICA IN BOX ,4,"Hang trung binh, on dinh quanh nam"
21915,RED  HARMONICA IN BOX ,4,"Hang trung binh, on dinh quanh nam"
21916,SET 12 RETRO WHITE CHALK STICKS,4,"Hang trung binh, on dinh quanh nam"
21917,SET 12 KIDS  WHITE CHALK STICKS,4,"Hang trung binh, on dinh quanh nam"
21918,SET 12 KIDS COLOUR  CHALK STICKS,4,"Hang trung binh, on dinh quanh nam"
21922,UNION STRIPE WITH FRINGE  HAMMOCK,0,"Hang ban chay, gia thap, mua thuong xuyen"
21925,UNION STRIPE CUSHION COVER ,2,"Hang theo mua, dot bien, so luong lon"
21926,RED/CREAM STRIPE CUSHION COVER ,2,"Hang theo mua, dot bien, so luong lon"
21927,BLUE/CREAM STRIPE CUSHION COVER ,2,"Hang theo mua, dot bien, so luong lon"
21928,JUMBO BAG SCANDINAVIAN PAISLEY,4,"Hang trung binh, on dinh quanh nam"
21929,JUMBO BAG PINK VINTAGE PAISLEY,4,"Hang trung binh, on dinh quanh nam"
21930,JUMBO STORAGE BAG SKULLS,4,"Hang trung binh, on dinh quanh nam"
21931,JUMBO STORAGE BAG SUKI,4,"Hang trung binh, on dinh quanh nam"
21932,SCANDINAVIAN PAISLEY PICNIC BAG,4,"Hang trung binh, on dinh quanh nam"
21933,PINK VINTAGE PAISLEY PICNIC BAG,4,"Hang trung binh, on dinh quanh nam"
21934,SKULL SHOULDER BAG,4,"Hang trung binh, on dinh quanh nam"
21935,SUKI  SHOULDER BAG,4,"Hang trung binh, on dinh quanh nam"
21936,RED RETROSPOT PICNIC BAG,4,"Hang trung binh, on dinh quanh nam"
21937,STRAWBERRY   PICNIC BAG,4,"Hang trung binh, on dinh quanh nam"
21942,SKULLS DESIGN FLANNEL,3,"Hang moi/it nguoi biet, doanh thu thap"
21943,CAKES AND RABBITS DESIGN FLANNEL ,3,"Hang moi/it nguoi biet, doanh thu thap"
21944,KITTENS DESIGN FLANNEL,2,"Hang theo mua, dot bien, so luong lon"
21945,STRAWBERRIES  DESIGN FLANNEL ,2,"Hang theo mua, dot bien, so luong lon"
21946,PARTY TIME DESIGN FLANNEL,3,"Hang moi/it nguoi biet, doanh thu thap"
21947,SET OF 6 HEART CHOPSTICKS,2,"Hang theo mua, dot bien, so luong lon"
21948,SET OF 6 CAKE CHOPSTICKS,2,"Hang theo mua, dot bien, so luong lon"
21949,SET OF 6 STRAWBERRY CHOPSTICKS,2,"Hang theo mua, dot bien, so luong lon"
21955,DOORMAT UNION JACK GUNS AND ROSES,0,"Hang ban chay, gia thap, mua thuong xuyen"
21967,PACK OF 12 SKULL TISSUES,4,"Hang trung binh, on dinh quanh nam"
21972,SET OF 36 DINOSAUR PAPER DOILIES,2,"Hang theo mua, dot bien, so luong lon"
21973,SET OF 36 MUSHROOM PAPER DOILIES,2,"Hang theo mua, dot bien, so luong lon"
21974,SET OF 36 PAISLEY FLOWER DOILIES,4,"Hang trung binh, on dinh quanh nam"
21975,PACK OF 60 DINOSAUR CAKE CASES,4,"Hang trung binh, on dinh quanh nam"
21976,PACK OF 60 MUSHROOM CAKE CASES,4,"Hang trung binh, on dinh quanh nam"
21977,PACK OF 60 PINK PAISLEY CAKE CASES,4,"Hang trung binh, on dinh quanh nam"
21980,PACK OF 12 RED RETROSPOT TISSUES ,4,"Hang trung binh, on dinh quanh nam"
21981,PACK OF 12 WOODLAND TISSUES ,4,"Hang trung binh, on dinh quanh nam"
21982,PACK OF 12 SUKI TISSUES ,4,"Hang trung binh, on dinh quanh nam"
21983,PACK OF 12 BLUE PAISLEY TISSUES ,4,"Hang trung binh, on dinh quanh nam"
21984,PACK OF 12 PINK PAISLEY TISSUES ,4,"Hang trung binh, on dinh quanh nam"
21985,PACK OF 12 HEARTS DESIGN TISSUES ,4,"Hang trung binh, on dinh quanh nam"
21986,PACK OF 12 PINK POLKADOT TISSUES,4,"Hang trung binh, on dinh quanh nam"
21987,PACK OF 6 SKULL PAPER CUPS,4,"Hang trung binh, on dinh quanh nam"
21988,PACK OF 6 SKULL PAPER PLATES,4,"Hang trung binh, on dinh quanh nam"
21989,PACK OF 20 SKULL PAPER NAPKINS,4,"Hang trung binh, on dinh quanh nam"
21990,MODERN FLORAL STATIONERY SET,4,"Hang trung binh, on dinh quanh nam"
21991,BOHEMIAN COLLAGE STATIONERY SET,0,"Hang ban chay, gia thap, mua thuong xuyen"
21992,VINTAGE PAISLEY STATIONERY SET,4,"Hang trung binh, on dinh quanh nam"
21993,FLORAL FOLK STATIONERY SET,4,"Hang trung binh, on dinh quanh nam"
22021,BLUE FELT EASTER EGG BASKET,2,"Hang theo mua, dot bien, so luong lon"
22023,EMPIRE BIRTHDAY CARD,2,"Hang theo mua, dot bien, so luong lon"
22024,RAINY LADIES BIRTHDAY CARD,4,"Hang trung binh, on dinh quanh nam"
22025,RING OF ROSES BIRTHDAY CARD,2,"Hang theo mua, dot bien, so luong lon"
22026,BANQUET BIRTHDAY  CARD  ,2,"Hang theo mua, dot bien, so luong lon"
22027,TEA PARTY BIRTHDAY CARD,4,"Hang trung binh, on dinh quanh nam"
22028,PENNY FARTHING BIRTHDAY CARD,4,"Hang trung binh, on dinh quanh nam"
22029,SPACEBOY BIRTHDAY CARD,4,"Hang trung binh, on dinh quanh nam"
22030,SWALLOWS GREETING CARD,4,"Hang trung binh, on dinh quanh nam"
22031,BOTANICAL LAVENDER BIRTHDAY CARD,2,"Hang theo mua, dot bien, so luong lon"
22032,BOTANICAL LILY GREETING CARD,2,"Hang theo mua, dot bien, so luong lon"
22033,BOTANICAL ROSE GREETING CARD,2,"Hang theo mua, dot bien, so luong lon"
22035,VINTAGE CARAVAN GREETING CARD ,2,"Hang theo mua, dot bien, so luong lon"
22037,ROBOT BIRTHDAY CARD,4,"Hang trung binh, on dinh quanh nam"
22038,BOTANICAL LAVENDER GIFT WRAP ,2,"Hang theo mua, dot bien, so luong lon"
22039,BOTANICAL LILY GIFT WRAP,2,"Hang theo mua, dot bien, so luong lon"
22040,BOTANICAL ROSE GIFT WRAP,2,"Hang theo mua, dot bien, so luong lon"
22041,"RECORD FRAME 7"" SINGLE SIZE ",4,"Hang trung binh, on dinh quanh nam"
22042,CHRISTMAS CARD SINGING ANGEL,2,"Hang theo mua, dot bien, so luong lon"
22043,CHRISTMAS CARD SCREEN PRINT ,2,"Hang theo mua, dot bien, so luong lon"
22044,CHRISTMAS CARD STACK OF PRESENTS,2,"Hang theo mua, dot bien, so luong lon"
22045,SPACEBOY GIFT WRAP,4,"Hang trung binh, on dinh quanh nam"
22046,TEA PARTY  WRAPPING PAPER ,2,"Hang theo mua, dot bien, so luong lon"
22047,EMPIRE GIFT WRAP,4,"Hang trung binh, on dinh quanh nam"
22048,BIRTHDAY BANQUET GIFT WRAP,2,"Hang theo mua, dot bien, so luong lon"
22049,WRAP CHRISTMAS SCREEN PRINT,2,"Hang theo mua, dot bien, so luong lon"
22050,PINK PAISLEY ROSE GIFT WRAP,2,"Hang theo mua, dot bien, so luong lon"
22051,BLUE SCANDINAVIAN PAISLEY WRAP,2,"Hang theo mua, dot bien, so luong lon"
22052,VINTAGE CARAVAN GIFT WRAP,2,"Hang theo mua, dot bien, so luong lon"
22053,EMPIRE DESIGN ROSETTE,4,"Hang trung binh, on dinh quanh nam"
22055,MINI CAKE STAND  HANGING STRAWBERY,4,"Hang trung binh, on dinh quanh nam"
22057,CERAMIC PLATE STRAWBERRY DESIGN,2,"Hang theo mua, dot bien, so luong lon"
22059,CERAMIC STRAWBERRY DESIGN MUG,4,"Hang trung binh, on dinh quanh nam"
22060,LARGE CAKE STAND HANGING HEARTS,0,"Hang ban chay, gia thap, mua thuong xuyen"
22061,LARGE CAKE STAND  HANGING STRAWBERY,0,"Hang ban chay, gia thap, mua thuong xuyen"
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,2,"Hang theo mua, dot bien, so luong lon"
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,0,"Hang ban chay, gia thap, mua thuong xuyen"
22064,PINK DOUGHNUT TRINKET POT ,4,"Hang trung binh, on dinh quanh nam"
22065,CHRISTMAS PUDDING TRINKET POT ,4,"Hang trung binh, on dinh quanh nam"
22066,LOVE HEART TRINKET POT,4,"Hang trung binh, on dinh quanh nam"
22067,CHOC TRUFFLE GOLD TRINKET POT ,2,"Hang theo mua, dot bien, so luong lon"
22068,BLACK PIRATE TREASURE CHEST,0,"Hang ban chay, gia thap, mua thuong xuyen"
22069,BROWN  PIRATE TREASURE CHEST ,0,"Hang ban chay, gia thap, mua thuong xuyen"
22070,SMALL RED RETROSPOT MUG IN BOX ,4,"Hang trung binh, on dinh quanh nam"
22071,SMALL WHITE RETROSPOT MUG IN BOX ,2,"Hang theo mua, dot bien, so luong lon"
22072,RED RETROSPOT TEA CUP AND SAUCER ,0,"Hang ban chay, gia thap, mua thuong xuyen"
22073,RED RETROSPOT STORAGE JAR,0,"Hang ban chay, gia thap, mua thuong xuyen"
22074,6 RIBBONS SHIMMERING PINKS ,4,"Hang trung binh, on dinh quanh nam"
22075,6 RIBBONS ELEGANT CHRISTMAS ,4,"Hang trung binh, on dinh quanh nam"
22076,6 RIBBONS EMPIRE  ,4,"Hang trung binh, on dinh quanh nam"
22077,6 RIBBONS RUSTIC CHARM,4,"Hang trung binh, on dinh quanh nam"
22078,RIBBON REEL LACE DESIGN ,4,"Hang trung binh, on dinh quanh nam"
22079,RIBBON REEL HEARTS DESIGN ,4,"Hang trung binh, on dinh quanh nam"
22080,RIBBON REEL POLKADOTS ,4,"Hang trung binh, on dinh quanh nam"
22081,RIBBON REEL FLORA + FAUNA ,0,"Hang ban chay, gia thap, mua thuong xuyen"
22082,RIBBON REEL STRIPES DESIGN ,4,"Hang trung binh, on dinh quanh nam"
22083,PAPER CHAIN KIT RETROSPOT,4,"Hang trung binh, on dinh quanh nam"
22084,PAPER CHAIN KIT EMPIRE,4,"Hang trung binh, on dinh quanh nam"
22085,PAPER CHAIN KIT SKULLS ,0,"Hang ban chay, gia thap, mua thuong xuyen"
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,4,"Hang trung binh, on dinh quanh nam"
22087,PAPER BUNTING WHITE LACE,4,"Hang trung binh, on dinh quanh nam"
22088,PAPER BUNTING COLOURED LACE,4,"Hang trung binh, on dinh quanh nam"
22089,PAPER BUNTING VINTAGE PAISLEY,0,"Hang ban chay, gia thap, mua thuong xuyen"
22090,PAPER BUNTING RETROSPOT,4,"Hang trung binh, on dinh quanh nam"
22091,EMPIRE TISSUE BOX,4,"Hang trung binh, on dinh quanh nam"
22092,BLUE PAISLEY TISSUE BOX,2,"Hang theo mua, dot bien, so luong lon"
22093,MOTORING TISSUE BOX,4,"Hang trung binh, on dinh quanh nam"
22094,RED RETROSPOT TISSUE BOX,4,"Hang trung binh, on dinh quanh nam"
22095,LADS ONLY TISSUE BOX,4,"Hang trung binh, on dinh quanh nam"
22096,PINK PAISLEY SQUARE TISSUE BOX ,2,"Hang theo mua, dot bien, so luong lon"
22097,SWALLOW SQUARE TISSUE BOX,4,"Hang trung binh, on dinh quanh nam"
22098,BOUDOIR SQUARE TISSUE BOX,4,"Hang trung binh, on dinh quanh nam"
22099,CARAVAN SQUARE TISSUE BOX,4,"Hang trung binh, on dinh quanh nam"
22100,SKULLS SQUARE TISSUE BOX,2,"Hang theo mua, dot bien, so luong lon"
22101,MIRROR MOSAIC VOTIVE HOLDER,2,"Hang theo mua, dot bien, so luong lon"
22102,MIRROR MOSAIC T-LIGHT HOLDER ,2,"Hang theo mua, dot bien, so luong lon"
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,2,"Hang theo mua, dot bien, so luong lon"
22104,MIRROR MOSAIC CANDLE PLATE,3,"Hang moi/it nguoi biet, doanh thu thap"
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,2,"Hang theo mua, dot bien, so luong lon"
22106,MIRROR MOSAIC HURRICANE LAMP ,2,"Hang theo mua, dot bien, so luong lon"
22107,PIZZA PLATE IN BOX,0,"Hang ban chay, gia thap, mua thuong xuyen"
22108,PING! MICROWAVE PLATE,3,"Hang moi/it nguoi biet, doanh thu thap"
22109,FULL ENGLISH BREAKFAST PLATE,0,"Hang ban chay, gia thap, mua thuong xuyen"
